Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src
organic-semolina,Organic Semolina (Sooji / Rava),"<p>Coarse-ground from organic whole wheat, Dalify's semolina is the base for upma, halwa, and idli. Our sooji is stone-ground and retains a slightly more golden color than bleached commercial rava.</p><p>Roasting it before use in upma or sheera gives it a beautiful nutty depth.</p><p><strong>Suggested use:</strong> Upma, rava idli, rava dosa, suji halwa, sheera.</p>",Dalify,Food & Drink > Food > Grains,Flour,"organic,rava,sooji,semolina,upma",TRUE,Grind,Coarse,DAL-SOO-C500,500,40,129,
organic-semolina,,,,,,,,Grind,Fine,DAL-SOO-F500,500,40,129,
organic-toor-dal,Organic Toor Dal (Split Pigeon Pea),"<p>The backbone of Indian dal. Dalify's Organic Toor Dal comes from certified farms in Maharashtra and Andhra Pradesh. Our unpolished toor is free from the oil coating that commercial brands use to improve appearance — meaning better nutrition and a richer, earthier flavor.</p><p>This is the dal you want for sambar, dal fry, and the simplest, most comforting bowl of dal-chawal.</p><p><strong>Suggested use:</strong> Dal fry, sambar, dal tadka, khichdi, dal-chawal.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,toor dal,arhar,pigeon pea,sambar,south indian",TRUE,Weight,500g,DAL-TOO-500,500,40,159,
organic-toor-dal,,,,,,,,Weight,1kg,DAL-TOO-1000,1000,30,289,
organic-toor-dal,,,,,,,,Weight,2kg,DAL-TOO-2000,2000,20,549,
organic-moong-dal-yellow,Organic Yellow Moong Dal (Split),"<p>Light, easy to digest, and deeply nutritious — yellow moong dal is one of Ayurveda's most valued foods. Dalify's organic split moong is sourced from Rajasthan farms and cooked without the polishing that strips away nutrients.</p><p>Ready in under 20 minutes without a pressure cooker. Make moong dal khichdi, moong dal cheela, or simple dal with lemon.</p><p><strong>Suggested use:</strong> Dal, khichdi, cheela, sprouting, soups.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,moong dal,yellow split,ayurveda,easy digest",TRUE,Weight,500g,DAL-MOO-500,500,40,149,
organic-moong-dal-yellow,,,,,,,,Weight,1kg,DAL-MOO-1000,1000,30,269,
organic-moong-dal-yellow,,,,,,,,Weight,2kg,DAL-MOO-2000,2000,20,509,
organic-moong-dal-whole,Organic Whole Green Moong Dal,"<p>Whole mung beans — the unsung heroes of the pulse world. Used for sprouting, moong stir-fry (moong usal), and dal preparations with the skin on. Higher fiber and iron content than the split yellow variety.</p><p>Soak overnight and sprout for a crunchy, living food addition to salads. Dalify's organic whole green moong comes from Rajasthan.</p><p><strong>Suggested use:</strong> Sprouting, moong usal, whole dal preparations, soups.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,whole moong,green moong,sprouting,mung bean",TRUE,Weight,500g,DAL-MWG-500,500,40,149,
organic-moong-dal-whole,,,,,,,,Weight,1kg,DAL-MWG-1000,1000,30,269,
organic-masoor-dal,Organic Masoor Dal (Red Lentils),"<p>The quickest-cooking dal in your pantry — red lentils are ready in 15 minutes without soaking. Dalify's Organic Masoor Dal has a lovely earthy-sweet flavor and turns a golden orange color when cooked. Rich in protein and iron.</p><p>Use it as the base for a simple everyday dal, blend it into soups, or add to rice for quick khichdi when time is short.</p><p><strong>Suggested use:</strong> Quick dal, soups, khichdi, everyday dal-chawal.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,masoor dal,red lentils,quick cook,everyday dal",TRUE,Weight,500g,DAL-MAS-500,500,40,149,
organic-masoor-dal,,,,,,,,Weight,1kg,DAL-MAS-1000,1000,30,269,
organic-chana-dal,Organic Chana Dal (Split Bengal Gram),"<p>Chana dal has the richest, most robust flavor of all Indian dals — and it holds its shape even when fully cooked. Dalify's organic chana dal comes from Madhya Pradesh farms.</p><p>Essential for chana dal fry, Bengal's chana preparations, and as an ingredient in sambar powder. Also used to make besan flour.</p><p><strong>Suggested use:</strong> Chana dal fry, sambar, besan making, dal baati, halwa.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,chana dal,bengal gram,split,dal",TRUE,Weight,500g,DAL-CHA-500,500,40,149,
organic-chana-dal,,,,,,,,Weight,1kg,DAL-CHA-1000,1000,30,269,
organic-kabuli-chana,Organic Kabuli Chana (Chickpeas),"<p>Large, creamy chickpeas perfect for the Punjabi household staple — chole. Dalify sources certified organic kabuli chana from Madhya Pradesh and Rajasthan. Soak overnight and pressure cook for a soft but intact bean that absorbs masala beautifully.</p><p>Also perfect for hummus, Mediterranean-style salads, and roasted crunchy chickpea snacks.</p><p><strong>Suggested use:</strong> Chole, hummus, salads, roasted snacks, falafel.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,kabuli chana,chickpeas,chole,hummus",TRUE,Weight,500g,DAL-KAB-500,500,40,159,
organic-kabuli-chana,,,,,,,,Weight,1kg,DAL-KAB-1000,1000,30,289,
organic-kala-chana,Organic Kala Chana (Black Chickpeas),"<p>The desi chickpea — smaller, darker, and more nutritionally dense than kabuli chana. Higher in fiber, protein, and iron, with a firmer, nuttier bite.</p><p>A quintessential ingredient for the 'prasad' of North Indian temples and just as delicious as a spiced dry sabzi or in tamarind-based chaat. Dalify's organic kala chana comes from Rajasthan.</p><p><strong>Suggested use:</strong> Kala chana curry, navratri prasad, chaat, dry sabzi.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,kala chana,black chickpeas,navratri,protein",TRUE,Weight,500g,DAL-KLC-500,500,40,149,
organic-kala-chana,,,,,,,,Weight,1kg,DAL-KLC-1000,1000,30,269,
organic-rajma-dark,Organic Rajma — Dark Red (Jammu),"<p>No Sunday meal plan is complete without rajma-chawal. Dalify's Organic Dark Red Rajma comes from the Jammu variety — smaller and darker than large kidney beans, with a creamier texture and more complex flavor.</p><p>Soak overnight, pressure cook until very soft, then simmer in a rich onion-tomato-spice base until the gravy turns thick and silky.</p><p><strong>Suggested use:</strong> Rajma chawal, bean soups, burritos, salads.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,rajma,dark red,kidney beans,punjabi,jammu",TRUE,Weight,500g,DAL-RJD-500,500,40,169,
organic-rajma-dark,,,,,,,,Weight,1kg,DAL-RJD-1000,1000,30,309,
organic-rajma-chitra,Organic Rajma Chitra (Speckled Kidney Beans),"<p>The speckled Chitra variety of rajma is beloved in Himachal Pradesh for its thinner skin and quicker cook time. Slightly lighter in flavor than dark red rajma, but equally satisfying.</p><p>Dalify sources organic chitra rajma directly from hill farms in Himachal. Great for those who want a slightly lighter rajma preparation.</p><p><strong>Suggested use:</strong> Rajma chawal, soups, mixed bean dishes.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,rajma,chitra,speckled,himachal",TRUE,Weight,500g,DAL-RJC-500,500,40,169,
organic-rajma-chitra,,,,,,,,Weight,1kg,DAL-RJC-1000,1000,30,309,
organic-urad-dal-black,Organic Whole Urad Dal (Black),"<p>The star of the tandoor — whole urad (black gram with skin) is what gives Dal Makhani its legendary, silky richness. When slow-cooked for hours with organic butter and cream, the urad breaks down into a velvet sauce that's impossible to replicate with any other pulse.</p><p>Also essential for making idli and dosa batter. Dalify's organic whole urad comes from Madhya Pradesh.</p><p><strong>Suggested use:</strong> Dal makhani, idli-dosa batter, black dal.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,urad dal,black gram,dal makhani,idli dosa",TRUE,Weight,500g,DAL-URB-500,500,40,159,
organic-urad-dal-black,,,,,,,,Weight,1kg,DAL-URB-1000,1000,30,289,
organic-urad-dal-white,Organic White Urad Dal (Split),"<p>The skinless, split form of urad dal — used in South Indian cooking with abandon. Dalify's organic white urad is crucial for idli and dosa batters, medu vada, and as a toasting spice in South Indian tadkas.</p><p>Also used in papad making and as the base of vada batter. Ferments beautifully to give the characteristic tang to idli.</p><p><strong>Suggested use:</strong> Idli, dosa, medu vada, tadka, papad.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,urad dal,white,split,idli,dosa,south indian",TRUE,Weight,500g,DAL-URW-500,500,40,159,
organic-urad-dal-white,,,,,,,,Weight,1kg,DAL-URW-1000,1000,30,289,
organic-moth-beans,Organic Moth Beans (Matki),"<p>A tiny, nutrient-dense legume used in Maharashtra's famous Misal Pav and Usal. Moth beans are quick to sprout (24-36 hours) and delicious when pressure cooked with a spicy coconut gravy.</p><p>High in protein and iron. Dalify sources certified organic matki from Rajasthan dryland farms.</p><p><strong>Suggested use:</strong> Misal pav, usal, sprouting, stir-fries.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,moth beans,matki,misal,sprouting,maharashtra",TRUE,Weight,500g,DAL-MTH-500,500,40,149,
organic-moth-beans,,,,,,,,Weight,1kg,DAL-MTH-1000,1000,30,269,
organic-lobia,Organic Lobia (Black-Eyed Peas),"<p>Lobia curry is a popular Punjabi winter dish — earthy, slightly sweet, and enormously satisfying. Black-eyed peas are also a powerhouse of folate and fiber.</p><p>Dalify's organic lobia comes from Rajasthan. Soak for 4 hours and pressure cook until tender but not mushy, then prepare with a thick, spiced tomato gravy.</p><p><strong>Suggested use:</strong> Lobia curry, salads, rice dishes, soups.</p>",Dalify,Food & Drink > Food > Beans & Pulses,Pulses,"organic,lobia,black-eyed peas,cowpeas,punjabi",TRUE,Weight,500g,DAL-LOB-500,500,40,149,
organic-lobia,,,,,,,,Weight,1kg,DAL-LOB-1000,1000,30,269,
organic-dosa-mix,Organic Dosa Mix,"<p>Crispy, golden, perfectly tangy dosa at home in under 20 minutes — without the 12-hour fermentation process. Dalify's Organic Dosa Mix uses a carefully calibrated blend of organic rice flour, urad dal flour, and organic sooji.</p><p>No artificial leavening agents, no added colors. Just add water, mix, rest for 30 minutes, and pour onto a hot tawa.</p><p><strong>Suggested use:</strong> Plain dosa, masala dosa, onion dosa, set dosa.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Instant Mixes,"organic,dosa mix,instant,south indian,breakfast",TRUE,Weight,500g,DAL-DOS-500,500,40,199,
organic-dosa-mix,,,,,,,,Weight,1kg,DAL-DOS-1000,1000,30,369,
organic-idli-mix,Organic Idli Mix,"<p>Soft, fluffy, perfectly pillowy idlis — every single time. Our Organic Idli Mix uses a blend of organic parboiled rice flour and organic white urad dal flour with added organic flattened rice for natural lightness.</p><p>No synthetic raising agents. Mix with water, rest for 30 minutes, steam for 12 minutes. Done.</p><p><strong>Suggested use:</strong> Plain idli, button idli, mini idlis, idli fry.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Instant Mixes,"organic,idli mix,instant,south indian,breakfast",TRUE,Weight,500g,DAL-IDL-500,500,40,199,
organic-idli-mix,,,,,,,,Weight,1kg,DAL-IDL-1000,1000,30,369,
organic-upma-mix,Organic Upma Mix,"<p>Upma that's ready in 10 minutes and tastes like it came from a South Indian breakfast house. Dalify's Organic Upma Mix uses coarse organic semolina, pre-blended with dried curry leaves, mustard seeds, and dried ginger — all the tadka flavors you'd normally add separately.</p><p>Just temper, add water, stir, and it's done.</p><p><strong>Suggested use:</strong> Plain upma, vegetable upma, rava pongal.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Instant Mixes,"organic,upma mix,rava,instant,south indian,breakfast",TRUE,Weight,250g,DAL-UPM-250,250,50,149,
organic-upma-mix,,,,,,,,Weight,500g,DAL-UPM-500,500,30,269,
organic-poha-mix,Organic Poha Mix,"<p>The beloved Mumbai breakfast made effortless. Our Poha Mix combines organic thick poha with pre-measured spice blends of turmeric, mustard seeds, and coriander.</p><p>Rinse the poha, sauté with the spice mix, and breakfast is served. Add peanuts and coriander for a complete experience. Light, energizing, and absolutely delicious.</p><p><strong>Suggested use:</strong> Classic breakfast poha, kanda poha, aloo poha.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Instant Mixes,"organic,poha mix,flattened rice,breakfast,mumbai",TRUE,Weight,250g,DAL-POH-250,250,50,139,
organic-poha-mix,,,,,,,,Weight,500g,DAL-POH-500,500,30,249,
organic-dhokla-mix,Organic Dhokla Mix,"<p>Spongy, tangy, and irresistibly snackable. Dalify's Organic Dhokla Mix is based on the classic Gujarati recipe using organic chana dal flour and rice flour. The mix is precisely balanced so you get that perfect spongy texture and slightly sour flavor without any guesswork.</p><p>Just add water, curd, and fruit salt. Steam for 15 minutes.</p><p><strong>Suggested use:</strong> Classic dhokla, sandwich dhokla, party snacks.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Instant Mixes,"organic,dhokla mix,gujarati,snack,steamed",TRUE,Weight,200g,DAL-DHO-200,200,50,159,
organic-dhokla-mix,,,,,,,,Weight,400g,DAL-DHO-400,400,30,289,
organic-khaman-mix,Organic Khaman Mix,"<p>Similar to dhokla but made with chickpea flour alone for a denser, spongier result. Our Khaman Mix produces the authentic Gujarati style with a glossy, sugary-tangy tempering.</p><p>All organic ingredients, no artificial yellow color — our khaman is naturally cream-colored from chickpea flour.</p><p><strong>Suggested use:</strong> Khaman, party snack, tiffin box.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Instant Mixes,"organic,khaman mix,gujarati,snack,chickpea",TRUE,Weight,200g,DAL-KHM-200,200,50,159,
organic-khaman-mix,,,,,,,,Weight,400g,DAL-KHM-400,400,30,289,
organic-besan,Organic Besan (Chickpea Flour),"<p>Stone-ground from organic chana dal, Dalify's besan is finer-textured and more flavorful than factory-milled commercial besan. The difference is immediately apparent in kadhi, pakoras, and besan chilla.</p><p>No anti-caking agents, no added colors. Available in fine (for kadhi, cheela, ladoo) and coarse (for bhajiya and fritters) grinds.</p><p><strong>Suggested use:</strong> Kadhi, pakoras, besan cheela, missi roti, besan laddoo.</p>",Dalify,Food & Drink > Food > Grains,Flour,"organic,besan,chickpea flour,gram flour,kadhi,pakora",TRUE,Grind,Fine,DAL-BES-F500,500,40,159,
organic-besan,,,,,,,,Grind,Coarse,DAL-BES-C500,500,40,159,
organic-besan,,,,,,,,Grind,Fine,DAL-BES-F1000,1000,20,289,
organic-multigrain-atta,Organic Multigrain Atta,"<p>Our proprietary multigrain atta combines organic whole wheat with organic ragi, jowar, bajra, and soya flour in a balanced ratio. The result is a flour that makes rotis with more nutritional density, a slightly darker color, and a nuttier taste profile than plain wheat atta.</p><p>No dough conditioners or bleaching agents.</p><p><strong>Suggested use:</strong> Roti, paratha, thepla, chapati, puri.</p>",Dalify,Food & Drink > Food > Grains,Flour,"organic,multigrain atta,whole wheat,ragi,millet flour,healthy roti",TRUE,Weight,1kg,DAL-MGA-1000,1000,30,199,
organic-multigrain-atta,,,,,,,,Weight,2kg,DAL-MGA-2000,2000,20,369,
organic-sattu,Organic Sattu (Roasted Gram Flour),"<p>Bihar and Uttar Pradesh's protein powerhouse. Sattu is roasted chana ground into a flour — no further cooking needed, making it perfect for quick nutrition on the go.</p><p>Mix with water, lemon, and spices for the refreshing sattu drink popular in summer, or make sattu parathas stuffed with a spiced sattu filling.</p><p><strong>Suggested use:</strong> Sattu sharbat, sattu paratha stuffing, litti chokha.</p>",Dalify,Food & Drink > Food > Grains,Flour,"organic,sattu,roasted gram,protein,bihar,summer drink",TRUE,Weight,250g,DAL-SAT-250,250,50,149,
organic-sattu,,,,,,,,Weight,500g,DAL-SAT-500,500,30,269,
organic-khichdi-mix,Organic Khichdi Mix,"<p>A complete one-pot meal in a bag. Dalify's Organic Khichdi Mix combines premium basmati rice with moong dal in the ideal 1:1 ratio, pre-spiced with turmeric, cumin, and bay leaf.</p><p>Add water, a spoon of ghee, and pressure cook for 3 whistles. The most comforting, nourishing, and effortless meal in your kitchen.</p><p><strong>Suggested use:</strong> Simple khichdi, one-pot comfort meal, healing food.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Instant Mixes,"organic,khichdi mix,one pot,comfort food,dal rice",TRUE,Weight,400g,DAL-KHI-400,400,40,179,
organic-khichdi-mix,,,,,,,,Weight,800g,DAL-KHI-800,800,20,329,
organic-pongal-mix,Organic Pongal Mix,"<p>A South Indian breakfast classic — rice and moong dal simmered together into a creamy, slightly porridge-like consistency. Dalify's Pongal Mix has the perfect ratio of organic short-grain rice and organic moong dal, with pre-measured spice inclusions.</p><p>Makes ven pongal in under 20 minutes from scratch.</p><p><strong>Suggested use:</strong> Ven pongal, chakkarai pongal, breakfast, festival food.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Instant Mixes,"organic,pongal mix,south indian,breakfast,festival",TRUE,Weight,400g,DAL-PON-400,400,40,179,
organic-pongal-mix,,,,,,,,Weight,800g,DAL-PON-800,800,20,329,
organic-rava-ladoo-mix,Organic Rava Ladoo Mix,"<p>The simplest Indian sweet just got even simpler. Dalify's Rava Ladoo Mix pre-combines organic sooji, organic desiccated coconut, and organic cane sugar. Just roast the mix lightly in ghee until fragrant, add cardamom, shape into balls while still warm.</p><p>Perfect for festivals, gifting, and satisfying sweet cravings without additives.</p><p><strong>Suggested use:</strong> Rava laddoo, festival sweets, gifting.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Sweet Mixes,"organic,rava ladoo mix,laddoo,sweet,festival,gifting",TRUE,Weight,250g,DAL-RLM-250,250,50,169,
organic-rava-ladoo-mix,,,,,,,,Weight,500g,DAL-RLM-500,500,30,309,
organic-millet-dosa-mix,Organic Millet Dosa Mix,"<p>A healthier evolution of the classic dosa mix. Dalify's Millet Dosa Mix replaces a significant portion of rice flour with a blend of organic foxtail millet and organic finger millet flours, lowering the glycemic index while maintaining the characteristic crisp texture of a good dosa.</p><p>Excellent for diabetic-friendly cooking and anyone seeking to incorporate ancient grains effortlessly.</p><p><strong>Suggested use:</strong> Millet dosa, millet crepes, savory pancakes.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Instant Mixes,"organic,millet dosa,diabetic-friendly,healthy,gluten-free option",TRUE,Weight,500g,DAL-MDM-500,500,40,219,
organic-millet-dosa-mix,,,,,,,,Weight,1kg,DAL-MDM-1000,1000,20,399,
organic-jaggery-powder,Organic Jaggery Powder (Gur Powder),"<p>Unrefined, chemical-free jaggery — the natural sweetener of Indian tradition. Dalify sources organic jaggery powder from Kolhapur, Maharashtra, where traditional sugarcane processing methods are still used.</p><p>Zero added chemicals, zero sulfur. Slightly richer and more complex flavor than refined sugar. Rich in iron, calcium, and potassium.</p><p><strong>Suggested use:</strong> Chai sweetener, dal, laddoos, kheer, imli chutney, daily consumption.</p>",Dalify,Food & Drink > Food > Sweeteners,Natural Sweeteners,"organic,jaggery,gur,natural sweetener,unrefined,iron",TRUE,Weight,250g,DAL-JAG-250,250,50,119,
organic-jaggery-powder,,,,,,,,Weight,500g,DAL-JAG-500,500,30,209,
organic-jaggery-powder,,,,,,,,Weight,1kg,DAL-JAG-1000,1000,20,379,
organic-tamarind-block,Organic Tamarind Block (Imli),"<p>Deep, naturally tart tamarind sourced from organic orchards in Tamil Nadu. Dalify's tamarind block is seedless and made without sulfur dioxide — a common preservative in commercial tamarind.</p><p>Dissolve in warm water, strain, and use in sambar, rasam, and classic imli chutney for chaat.</p><p><strong>Suggested use:</strong> Sambar, rasam, tamarind rice, imli chutney.</p>",Dalify,Food & Drink > Food > Seasonings & Spices,Condiments,"organic,tamarind,imli,sour,sambar,chutney",TRUE,Weight,200g,DAL-TAM-200,200,50,129,
organic-tamarind-block,,,,,,,,Weight,400g,DAL-TAM-400,400,30,229,
organic-coconut-milk-powder,Organic Coconut Milk Powder,"<p>Sun-dried and spray-processed from certified organic coconuts in Kerala. Reconstitutes easily in warm water to a creamy, rich coconut milk for Kerala curries, payasam, and coconut rice.</p><p>No hydrogenated fat, no preservatives. Longer shelf life than canned coconut milk and more convenient for everyday use.</p><p><strong>Suggested use:</strong> Kerala curries, payasam, coconut rice, Thai-inspired dishes.</p>",Dalify,Food & Drink > Food > Cooking Mixes,Cooking Aids,"organic,coconut milk powder,kerala,dairy-free,cooking",TRUE,Weight,100g,DAL-CMP-100,100,50,149,
organic-coconut-milk-powder,,,,,,,,Weight,200g,DAL-CMP-200,200,30,269,
organic-dry-fruits-mix,Organic Dry Fruits Mix (Trail Mix),"<p>A premium blend of organic cashews, organic almonds, organic raisins, and organic dried figs — all sourced from certified organic farms. No added sugar, no sulfur dioxide preservatives, no industrial oils.</p><p>Packed in nitrogen-flushed pouches to preserve freshness. The kind of clean snacking you can feel good about.</p><p><strong>Suggested use:</strong> Snacking, dessert garnish, laddoo preparation, travel food.</p>",Dalify,Food & Drink > Food > Snacks,Dry Fruits,"organic,dry fruits,trail mix,cashew,almond,raisins,snack",TRUE,Weight,100g,DAL-DFM-100,100,50,279,
organic-dry-fruits-mix,,,,,,,,Weight,250g,DAL-DFM-250,250,30,599,
